Date,Open,High,Low,Close,Adj Close,Volume
2023-01-19,16.389999,16.480000,16.139999,16.139999,16.130854,52733
2023-01-20,16.430000,17.170000,16.250000,17.150000,17.140280,57559
2023-01-23,17.450001,18.530001,17.230000,18.450001,18.439547,134519
2023-01-24,18.180000,18.670000,18.129999,18.570000,18.559477,103160
2023-01-25,18.260000,18.650000,17.910000,18.620001,18.609451,85957
2023-01-26,18.930000,19.270000,18.600000,19.049999,19.039204,109268
2023-01-27,18.790001,19.830000,18.709999,19.600000,19.588894,163867
2023-01-30,19.250000,19.350000,18.450001,18.450001,18.439547,101128
2023-01-31,18.500000,18.900000,18.290001,18.820000,18.809336,73665
2023-02-01,18.920000,20.340000,18.920000,20.129999,20.118589,204908
2023-02-02,20.200001,21.120001,20.200001,20.840000,20.828192,174486
2023-02-03,20.160000,20.910000,19.990000,20.330000,20.318481,224187
2023-02-06,20.000000,20.700001,20.000000,20.330000,20.318481,54605
2023-02-07,20.600000,21.410000,20.400000,21.370001,21.357889,191166
2023-02-08,21.580000,21.950001,21.160000,21.400000,21.387873,112669
2023-02-09,21.719999,22.150000,21.299999,21.540001,21.527794,213505
2023-02-10,20.910000,21.200001,20.020000,20.440001,20.428419,137049
2023-02-13,20.760000,21.180000,20.190001,20.959999,20.948120,108501
2023-02-14,20.730000,22.170000,20.549999,22.100000,22.087477,261582
2023-02-15,21.660000,21.950001,21.330000,21.900000,21.887590,238140
2023-02-16,21.330000,21.650000,21.120001,21.190001,21.177994,132032
2023-02-17,20.799999,20.830000,20.180000,20.590000,20.578333,141562
2023-02-21,20.200001,20.600000,19.840000,19.879999,19.868738,119135
2023-02-22,19.879999,20.290001,19.639999,19.980000,19.968678,54448
2023-02-23,22.580000,22.950001,21.500000,22.700001,22.687140,317704
2023-02-24,22.389999,22.500000,22.090000,22.360001,22.347332,128085
2023-02-27,22.830000,22.900000,22.580000,22.580000,22.567204,125897
2023-02-28,22.500000,22.900000,22.389999,22.389999,22.377314,54849
2023-03-01,22.280001,22.330000,21.650000,21.840000,21.827623,85930
2023-03-02,21.580000,22.440001,21.580000,22.389999,22.377314,46721
2023-03-03,22.440001,22.980000,22.260000,22.980000,22.966978,49227
2023-03-06,23.000000,23.299999,22.600000,22.610001,22.597189,84172
2023-03-07,22.719999,23.160000,22.350000,22.370001,22.361118,99128
2023-03-08,22.549999,23.270000,22.549999,23.240000,23.230772,70385
2023-03-09,23.250000,23.430000,22.500000,22.530001,22.521055,103885
2023-03-10,22.540001,22.680000,21.850000,22.059999,22.051241,73911
2023-03-13,21.920000,22.350000,21.430000,22.080000,22.071234,92068
2023-03-14,22.530001,23.280001,22.530001,23.020000,23.010859,77026
2023-03-15,22.840000,23.309999,22.500000,23.240000,23.230772,183736
2023-03-16,23.139999,24.549999,22.990000,24.549999,24.540253,142441
2023-03-17,24.980000,25.340000,24.660000,24.700001,24.690195,144498
2023-03-20,24.650000,25.010000,24.200001,24.910000,24.900112,141753
2023-03-21,25.150000,25.350000,24.490000,25.180000,25.170002,159772
2023-03-22,25.410000,26.480000,25.209999,25.520000,25.509871,200349
2023-03-23,26.100000,26.430000,25.680000,26.180000,26.169603,199967
2023-03-24,25.940001,26.049999,25.330000,25.700001,25.689798,96136
2023-03-27,25.820000,25.940001,25.330000,25.480000,25.469883,87086
2023-03-28,25.420000,25.420000,24.850000,25.400000,25.389917,68497
2023-03-29,25.780001,25.990000,25.580000,25.920000,25.909710,113722
2023-03-30,26.170000,26.400000,26.090000,26.299999,26.289558,62940
2023-03-31,26.100000,26.750000,26.100000,26.700001,26.689400,107267
2023-04-03,26.450001,26.879999,26.280001,26.850000,26.839340,107998
2023-04-04,26.870001,26.870001,26.250000,26.360001,26.349537,59787
2023-04-05,25.790001,25.879999,25.360001,25.790001,25.779762,125624
2023-04-06,25.500000,25.990000,25.389999,25.969999,25.959688,38830
2023-04-10,25.790001,26.510000,25.620001,26.480000,26.469488,96326
2023-04-11,26.610001,26.610001,26.040001,26.049999,26.039658,57038
2023-04-12,26.290001,26.370001,25.389999,25.389999,25.379917,51177
2023-04-13,25.650000,25.799999,25.350000,25.410000,25.399912,46399
2023-04-14,25.420000,25.799999,25.219999,25.709999,25.699791,44733
2023-04-17,25.559999,25.930000,25.400000,25.930000,25.919704,52087
2023-04-18,26.450001,26.980000,26.299999,26.590000,26.579443,103619
2023-04-19,26.290001,26.879999,26.250000,26.850000,26.839340,89806
2023-04-20,26.639999,26.850000,25.950001,26.010000,25.999676,70866
2023-04-21,25.840000,26.070000,25.670000,26.000000,25.989677,107671
2023-04-24,25.940001,26.250000,25.680000,25.910000,25.899712,26905
2023-04-25,26.100000,26.100000,25.150000,25.160000,25.150009,78683
2023-04-26,25.879999,26.200001,25.660000,25.889999,25.879723,77675
2023-04-27,26.299999,26.309999,25.570000,26.129999,26.119625,66210
2023-04-28,26.129999,26.600000,26.040001,26.600000,26.589437,33951
2023-05-01,26.690001,27.850000,26.690001,27.719999,27.708992,104520
2023-05-02,27.520000,27.620001,26.959999,27.070000,27.059252,59214
2023-05-03,26.719999,27.150000,26.370001,26.770000,26.759373,78782
2023-05-04,26.500000,26.690001,26.170000,26.440001,26.429502,126336
2023-05-05,26.660000,27.540001,26.629999,27.480000,27.469091,55060
